Name,Value,Category,Description
Phase Marg,61.42 °,System Information,Bode Plot Phase Margin
Cross Freq,17.46 kHz,System Information,Bode plot crossover frequency
Vout,5 V,System Information,Operational Output Voltage
IC Tolerance,18.32 mV,IC,IC Feedback Tolerance
Cin IRMS,453.44 mA,Capacitor,Input capacitor RMS ripple current
Cin Pd,411.22 µW,Capacitor,Input capacitor power dissipation
Cout IRMS,57.5 mA,Capacitor,Output capacitor RMS ripple current
Cout Pd,231.47 µW,Capacitor,Output capacitor power dissipation
Duty Cycle,40.08%,System Information,Duty cycle
Efficiency,89.2%,System Information,Steady state efficiency
Frequency,500 kHz,System Information,Switching frequency
IC Tj,40.96 °C,IC,IC junction temperature
ICThetaJA,75 °C/W,IC,IC junction-to-ambient thermal resistance
L Ipp,199.2 mA,Inductor,Peak-to-peak inductor ripple current
L Pd,195.8 mW,Inductor,Inductor power dissipation
IC Pd,146.09 mW,IC,IC power dissipation
Diode Pd,260.41 mW,Diode,Diode power dissipation
D1 Tj,66.46 °C,Diode,D1 junction temperature
Pout,5 W,System Information,Total output power
Iin Avg,424.47 mA,IC,Average input current
IC Ipk,0 A,IC,Peak switch current in IC
Mode,CCM,System Information,Conduction Mode
Vout p-p,13.18 mV,System Information,Peak-to-peak output ripple voltage
M Vds Act,76.12 mV,Mosfet,Voltage drop across the MosFET
M Irms,633.11 mA,Mosfet,MOSFET RMS ripple current
Total Pd,602.94 mW,Power,Total Power Dissipation
FootPrint,183 mm²,System Information,Total Foot Print Area of BOM components
Vin,13.2 V,System Information,Vin operating point
Iout,1 A,System Information,Iout operating point
Cin Pd,411.22 µW,Power,Input capacitor power dissipation
Cout Pd,231.47 µW,Power,Output capacitor power dissipation
L Pd,195.8 mW,Power,Inductor power dissipation
IC Pd,146.09 mW,Power,IC power dissipation
Diode Pd,260.41 mW,Power,Diode power dissipation
Vout Actual,4.99 V,System Information,Vout Actual calculated based on selected voltage divider resistors
Vout Tolerance,3.05%,System Information,Vout Tolerance based on IC Tolerance (no load) and voltage divider resistors if applicable
Total BOM,$2.73,System Information,Total BOM Cost
BOM Count,9 ,System Information,Total Design BOM count
